"","y","XLogP","MLogP","ALogP","TopoPSA","AMR","BCUTw.1h","BCUTc.1h","BCUTp.1h","khs.dO","khs.ssCH2","BCUTc.1l","BCUTp.1l","khs.ssO","khs.aaCH","khs.sOH","khs.sNH2","ALogp2","BCUTw.1l","khs.sLi","khs.ssBe"
"484",4.38,3.309,4.87,-0.6481,178.36,204.8079,16.0060543127475,0.280565454433946,11.6803847754068,4,12,-0.392515135795085,4.96673203739282,5,0,3,0,0.42003361,11.79,0,0
"630",1.13,2.434,2.78,0.630100000000001,154.6,132.0797,31.9730741829772,0.206874334941529,11.7903019259177,2,9,-0.377437618044125,5.50831695484275,2,7,2,0,0.397026010000001,11.85,0,0
"355",2.7,3.62,3.22,-1.1985,43.82,90.7825,15.9969335425851,0.211118301559457,10.7395691719535,0,10,-0.31152257152812,6.07647465567843,3,4,0,0,1.43640225,11.9,0,0
"141",1,3.616,3.11,-0.4848,75.63,103.0922,34.9688538550886,0.335574044173721,11.6470681856308,2,10,-0.383918134932542,4.47544327177405,1,4,1,0,0.23503104,11.9884056928761,0,0
"129",0.8,4.714,3.44,-0.6721,75.43,117.7408,15.9969373701971,0.29230360441726,12.6888122275481,2,6,-0.327771118461299,4.31311150104207,0,7,1,0,0.451718409999999,11.85,0,0
"1057",-0.06,0.49,2.89,-0.2545,52.93,82.9623,15.9987101574512,0.124451779349584,12.9813191050789,0,3,-0.409503712857491,5.45865140444697,1,2,2,0,0.06477025,11.9961702452307,0,0
"520",0.51,0.87,2.01,-0.231400000000001,49.33,44.7549,15.9959196776792,0.201025169760155,8.41581927112065,1,0,-0.360718215791715,4.19914308827093,0,4,1,0,0.0535459600000003,11.85,0,0
"977",-0.67,2.252,2.45,0.3606,70.16,69.4428,15.9969259798806,0.264327435600209,9.26547886634755,2,1,-0.331321097919812,3.91369904368163,0,7,1,0,0.13003236,11.85,0,0
"91",0.31,1.176,2.01,0.897799999999999,62.2,71.986,78.9183373415496,0.23335855134465,11.6892560996726,0,2,-0.341965994175161,6.60592717139189,0,4,0,0,0.806044839999999,11.9799483477566,0,0
"510",0.21,-0.183,1.79,-0.366700000000001,162.77,94.4966,31.974342963202,0.269315678428945,13.5458327517658,4,1,-0.360155800290999,5.56325724411733,0,5,1,1,0.134468890000001,11.999,0,0
"199",1.47,0.216,2.12,-1.332,132.64,108.1564,34.9688544981174,0.298147260979167,11.6873061152516,4,6,-0.378099230992939,5.51068700731557,1,2,0,0,1.774224,11.9884511901301,0,0
