"","y","XLogP","AMR","TopoPSA","ALogP","khs.ssCH2","khs.aaN","MLogP","ALogp2","khs.sCH3","khs.sssCH","khs.dO"
"484",4.38,3.309,204.8079,178.36,-0.6481,12,0,4.87,0.42003361,8,13,4
"630",1.13,2.434,132.0797,154.6,0.630100000000001,9,1,2.78,0.397026010000001,0,0,2
"355",2.7,3.62,90.7825,43.82,-1.1985,10,1,3.22,1.43640225,0,4,0
"141",1,3.616,103.0922,75.63,-0.4848,10,0,3.11,0.23503104,1,1,2
"129",0.8,4.714,117.7408,75.43,-0.6721,6,1,3.44,0.451718409999999,2,1,2
"1057",-0.06,0.49,82.9623,52.93,-0.2545,3,0,2.89,0.06477025,1,4,0
"520",0.51,0.87,44.7549,49.33,-0.231400000000001,0,0,2.01,0.0535459600000003,1,0,1
"977",-0.67,2.252,69.4428,70.16,0.3606,1,0,2.45,0.13003236,0,0,2
"91",0.31,1.176,71.986,62.2,0.897799999999999,2,2,2.01,0.806044839999999,0,0,0
"510",0.21,-0.183,94.4966,162.77,-0.366700000000001,1,0,1.79,0.134468890000001,2,0,4
"199",1.47,0.216,108.1564,132.64,-1.332,6,0,2.12,1.774224,1,2,4
"1070",0.78,3.306,83.975,94.83,-3.4355,11,0,3.11,11.80266025,1,4,2
"169",1.22,2.924,54.2254,40.54,-1.7024,4,0,2.34,2.89816576000001,2,0,1
"637",2.88,3.268,170.4052,199.92,0.8527,9,1,3.11,0.727097289999999,0,0,4
"358",2.71,5.984,139.984,70.17,3.0154,10,3,2.89,9.09263716000001,0,1,0
"83",0.2,1.584,106.6716,131.98,-4.4632,17,0,3.11,19.92015424,0,4,2
"232",1.7,3.716,109.761,91.4,-0.8844,0,1,2.78,0.782163359999999,1,1,3
"754",4.32,3.749,114.4655,132.94,1.3126,2,0,2.67,1.72291876,1,0,3
"302",2.3,2.008,72.51,76.99,0.7317,4,1,2.34,0.53538489,1,0,2
"131",0.85,1.421,101.5521,65.07,0.1597,3,0,3.11,0.0255040899999999,3,4,2
"79",0.16,4.872,121.1035,72.88,0.505600000000001,2,0,3.22,0.255631360000001,3,2,2
"994",0.41,1.846,84.3901,67.59,-0.0117999999999984,4,0,2.34,0.000139239999999961,3,0,1
"674",2.52,5.994,170.1456,64.6,-0.428399999999995,10,2,4.1,0.183526559999996,0,0,0
"51",-0.2,1.804,103.7557,95.86,-0.9263,10,0,3.22,0.858031690000001,1,1,2
"648",2.35,2.678,144.7246,158.26,0.1491,9,2,3.11,0.02223081,0,0,2
"966",-0.29,2.599,72.3777,59.3,0.5823,1,0,2.34,0.33907329,0,0,2
"744",3.76,4.406,95.6791,121.56,3.0136,0,2,2.12,9.08178495999999,1,0,1
"53",-0.19,-0.475,63.4722,135.12,-1.8562,1,0,1.13,3.44547844,0,0,4
"102",0.49,4.26,126.2926,100.55,0.629300000000001,3,5,3.11,0.396018490000001,2,0,1
"346",2.6,3.483,121.7747,120.84,-4.385,5,5,2.89,19.228225,4,0,1
"295",2.3,2.719,85.381,142.8,-3.2211,10,2,2.12,10.37548521,1,2,3
"718",1.7,5.214,90.0275,47.91,1.6663,2,0,3,2.77655569,2,0,0
"724",2.83,2.752,104.7239,142.02,1.5888,0,2,1.9,2.52428543999999,2,0,3
"390",2.97,4.466,110.7562,35.75,0.692999999999999,2,1,3.33,0.480248999999998,2,0,0
"1042",2.49,2.659,64.9688,3.24,2.1631,2,0,2.78,4.67900160999999,2,1,0
"799",4.43,5.026,76.865,44.62,-0.3311,5,0,3,0.10962721,0,1,0
"962",-0.23,3.243,85.8585,59.3,0.758,1,0,2.89,0.574564000000001,0,0,2
"680",4.12,6.351,154.0955,61.36,-0.385699999999998,6,2,3.88,0.148764489999998,1,0,0
"283",2.17,4.081,131.8114,62.24,3.5396,9,0,2.89,12.52876816,0,1,1
"625",3.29,3.688,132.022,171.29,2.5085,9,1,2.78,6.29257225000001,0,0,1
"1052",4.2,3.791,163.3231,118.21,0.207799999999997,6,0,3.77,0.0431808399999986,5,6,3
"768",3.3,3.068,94.437,41.3,0.5505,6,1,3.11,0.30305025,3,1,0
"720",3.31,6.976,113.3798,47.91,1.4228,3,0,3.66,2.02435984,2,1,0
"486",4.44,5.015,81.8245,16.77,0.765199999999998,2,1,3,0.585531039999998,1,0,0
"35",-0.41,1.476,52.4253,19.03,-0.386799999999999,1,0,2.34,0.149614239999999,3,2,0
"286",2.2,5.28,171.7229,108.59,0.658999999999996,8,0,3.77,0.434280999999995,3,2,5
"633",3.52,4.489,169.5571,182.7,1.8685,9,1,3.33,3.49129225,0,0,2
"266",2.03,0.241,124.3953,160.88,-0.190100000000001,6,0,2.23,0.0361380100000004,1,2,4
"834",5.99,7.13,109.1816,38.06,1.3446,7,1,3.66,1.80794915999999,4,2,0
"411",3.2,3.234,82.9545,50.69,2.1867,2,1,2.78,4.78165689,0,0,1
