Smile;Label;
NC1C=CC2=C(N=1)NC3=CC=CC=C23;active;0
C1(NNC(C)=O)=CC=CC=C1;active;0
C12C3=C(C=CC=C3)CC1=CC(=CC=2)NC(C)=O;active;0
C=CC#N;active;0
O=C(N)\C(C2=CC=CO2)=C/C1=CC=C([N+]([O-])=O)O1;active;0
C12=C3C(C4=C(C(O3)=O)C(=O)CC4)=C(C=C1OC5C2C=CO5)OC;active;0
O=C1C2=C(C(=CC(=C2C(=O)C3=C1C=CC=C3)Br)Br)N;active;0
CCN1(C2C(=CC=CC=2)C3=C1C=CC(=C3)N);active;0
O=C1C2=C(C(=CC=C2C(=O)C3=C1C=CC=C3)C)N;active;0
NC1=NC(C2=CC=C([N+]([O-])=O)O2)=CS1;active;0
O=[N+](C1=CN=C(S1)N)[O-];active;0
O=C1C2=CC(=CC=C2C(=O)C3=C1C=CC=C3)N;active;0
CC1=C(C=CC=C1)/N=N/C2=CC(=C(C=C2)N)C;active;0
NC1=CC=C(C=C1)C2=CC=CC=C2;active;0
N/C1=N/C(=O)N(/C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O;active;0
[O-][N+](C(N=C3)=C(SC1=NC=NC2=C1NC=N2)N3C)=O;active;0
C1(/N=N/C2=CC=CC=C2)=CC=CC=C1;active;0
C[N+](=NC)[O-];active;0
C\C1=C\N(C(=O)NC1=O)[C@H]2C[C@H](/N=[N+]=[N-])[C@@H](CO)O2;active;0
NC1=CC=C(C2=CC=C(N)C=C2)C=C1;active;0
C1=CC2=CC=CC3=CC=C4C(=C23)C1=C5C(=C4)C=CC=C5;active;0
ClC(C1=CC=CC=C1)(Cl)Cl;active;0
ClCC1=CC=CC=C1;active;0
OCC(CO)(CBr)CBr;active;0
CC(CCl)OC(C)CCl;active;0
O=C1C2=C(C(=CC=C2N)N)C(=O)C3=C(C=CC(=C13)N)N;active;0
C1(=C(C=CC(=C1)N(CCO)CCO)NC)[N+]([O-])=O;active;0
ClC(Cl)Br;active;0
CCBr;active;0
OCCBr;active;0
C=CC=C;active;0
N(CCCCO)(CCCC)N=O;active;0
O=C(N(CCCC)N=O)N;active;0
O=C1N(C(=O)C2C1CC=CC2)SC(Cl)(Cl)Cl;active;0
ClCCN(C1=CC=C(C=C1)CCCC(=O)O)CCCl;active;0
CC(=C)CCl;active;0
ClC1=C(C=CC=C1)[N+](=O)[O-];active;0
O=[N+](C1=CC=C(C=C1)Cl)[O-];active;0
NC1=C(C=CC(=C1)N)Cl;active;0
NC1=C(C=CC(=C1)Cl)N;active;0
O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(=O)N(CCCl)N=O;active;0
O=C1C2=C(C=CC=C2O)C(=O)C3=CC=CC(=C13)O;active;0
O=C1OC2=C(C=CC=C2)C=C1;active;0
COC1=CC(=C(C=C1)N)C;active;0
NC1=CC(=CC=C1OC)C;active;0
ClCCN(CCCl)[P]1(=O)NCCCO1;active;0
O=C(N)C1=C(N=CN1)/N=N/N(C)C;active;0
C=CCN(CC=C)N=O;active;0
NC1=C(C=CC(=C1)N)C;active;0
BrC(CCl)CBr;active;0
O[C@@H]([C@@H](O)[C@H](O)CBr)[C@@H](O)CBr;active;0
BrCCBr;active;0
O[C@H]([C@H](O)CBr)[C@H](O)[C@H](O)CBr;active;0
NC1=C(C=C(C=C1Cl)N)Cl;active;0
OC(=O)C(Cl)Cl;active;0
ClC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)Cl)N;active;0
ClCCCl;active;0
CC(Cl)CCl;active;0
O=P(OC=C(Cl)Cl)(OC)OC;active;0
C1=C(C=CC=C1OCC2CO2)OCC3CO3;active;0
CC1CC(OC(O1)C)OC(=O)C;active;0
COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=C=O)OC)N=C=O;active;0
CN(C)CNc2nnc(/C=C/c1ccc(o1)[N+]([O-])=O)o2;active;0
O=C(N(C)C)Cl;active;0
CN(C)N;active;0
[O-][N+](C2=CC=C(O2)C1=CSC(NN(C)C)=N1)=O;active;0
C\C(C)=C/Cl;active;0
O=NN(CCN1N=O)CCC1;active;0
O=NN1CCN(N=O)CC1;active;0
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-];active;0
ClCC1CO1;active;0
CCC1CO1;active;0
NC(=O)N(CC)N=O;active;0
C1CN1;active;0
C1CO1;active;0
S=C1NCCN1;active;0
N#CN(CC)N=O;active;0
C=O;active;0
[O-][N+](=O)C1=CC=C(O1)C2=CSC(=N2)NNC=O;active;0
O=CC1=CC=CO1;active;0
N1C2=C(N3C=1/C(=C\C=C/3)C)N=C(C=C2)N;active;0
N12C3=C(C=CC(=N3)N)N=C1C=CC=C2;active;0
OCC1CO1;active;0
O=C(N(CCCCCC)N=O)N;active;0
N(C1=CC=CC=C1)NC2=CC=CC=C2;active;0
CC(=O)N(O)C1=CC2=C(C=C1)C3=CC=CC=C3C2;active;0
O=C(N(CCO)N=O)N;active;0
C1C(OC(O1)C(C)I)CO;active;0
NC1=NC(C3=C(N=CC=C3)C=C2)=C2N1C;active;0
CC(CON=O)C;active;0
O=C(C1=CC=NC=C1)NN;active;0
ClCCN[P]1(=O)OCCCN1CCCl;active;0
O=C1C(O)=COC(CO)=C1;active;0
[H][C@]12N(CC=C2COC([C@@](O)(C(O)(C)C)[C@H](C)OC)=O)CC[C@@H]1OC(\C(C)=C/C)=O;active;0
NC(N3C)=NC2=C3C(C)=CC1=NC=CC=C12;active;0
CN1C2=C(C3=NC(=CN=C3C=C2)C)N=C1N;active;0
OC([C@H](CC1=CC=C(N(CCCl)CCCl)C=C1)N)=O;active;0
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2;active;0
CS(=O)(=O)OC;active;0
N=C(N(N=O)C)N[N+](=O)[O-];active;0
O=C1C2=C(C(=CC=C2C(=O)C3=C1C=CC=C3)C)[N+](=O)[O-];active;0
C(C1C=CC=CC=1)(=O)N(N=O)C;active;0
ClC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)Cl)N;active;0
CC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)C)N;active;0
ClCCl;active;0
